,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_CITY,CAND_ST,CAND_ZIP,candidatevotes,totalvotes,VOTE_percent,WINNER
61,H8WV03048,"OJEDA, RICHARD NEECE SENATOR II",DEM,2018,WV,H,3.0,O,P,C00639989,HOLDEN,WV,25625.0,76340,174985,0.43626596565419895,0
62,H8WV03097,"MILLER, CAROL DEVINE",REP,2018,WV,H,3.0,O,C,C00653220,HUNTINGTON,WV,25701.0,98645,174985,0.563734034345801,1
65,H8WV01075,"FERSHEE, KENDRA JEAN HUARD",DEM,2018,WV,H,1.0,C,P,C00655860,MORGANTOWN,WV,26505.0,70217,198214,0.35424843855630783,0
66,H0WV01072,"MCKINLEY, DAVID B. MR.",REP,2018,WV,H,1.0,I,C,C00473132,WHEELING,WV,26003.0,127997,198214,0.6457515614436922,1
67,H8WA10045,"BRUMBLES, JOSEPH",REP,2018,WA,H,10.0,C,C,C00686170,YELM,WA,98597.0,103860,270075,0.3845598444876423,0
68,H0WA03161,"HECK, DENNIS",DEM,2018,WA,H,10.0,I,C,C00472159,OLYMPIA,WA,98507.0,166215,270075,0.6154401555123576,1
69,H8WA09054,"SMITH, SARAH",DEM,2018,WA,H,9.0,C,P,C00640151,KENT,WA,98042.0,77222,240567,0.32099997090207716,0
70,H6WA09025,"SMITH, D. ADAM",DEM,2018,WA,H,9.0,I,C,C00304709,RENTON,WA,98057.0,163345,240567,0.6790000290979228,1
71,H8WA08189,"SCHRIER, KIM DR.",DEM,2018,WA,H,8.0,O,C,C00652628,SAMMAMISH,WA,98075.0,164089,313057,0.5241505540524569,1
72,H8WA08205,"ROSSI, DINO",REP,2018,WA,H,8.0,O,P,C00656371,ISSAQUAH,WA,98027.0,148968,313057,0.4758494459475431,0
73,H4WA07073,"KELLER, CRAIG",REP,2018,WA,H,7.0,C,C,C00569707,SEATTLE,WA,98116.0,64881,394681,0.1643884554868362,0
74,H6WA07458,"JAYAPAL, PRAMILA",DEM,2018,WA,H,7.0,I,C,C00605592,SEATTLE,WA,98118.0,329800,394681,0.8356115445131638,1
75,H8WA06100,"DIGHTMAN, DOUGLAS",REP,2018,WA,H,6.0,C,P,C00679571,SHELTON,WA,98584.0,116677,323086,0.36113294912190563,0
76,H2WA06129,"KILMER, DEREK",DEM,2018,WA,H,6.0,I,C,C00514893,TACOMA,WA,98402.0,206409,323086,0.6388670508780944,1
77,H8WA05193,"BROWN, LISA",DEM,2018,WA,H,5.0,C,P,C00654400,SPOKANE,WA,99210.0,144925,320347,0.452400053691778,0
78,H4WA05077,"MCMORRIS RODGERS, CATHY",REP,2018,WA,H,5.0,I,C,C00390476,SPOKANE,WA,99203.0,175422,320347,0.5475999463082221,1
79,H8WA04089,"BROWN, CHRISTINE CAROL",DEM,2018,WA,H,4.0,C,P,C00647008,KENNEWICK,WA,99336.0,83785,225336,0.3718225228103809,0
80,H4WA04104,"NEWHOUSE, DAN",REP,2018,WA,H,4.0,I,C,C00559393,SUNNYSIDE,WA,989449767.0,141551,225336,0.628177477189619,1
81,H8WA03198,"LONG, CAROLYN N.",DEM,2018,WA,H,3.0,C,C,C00660472,VANCOUVER,WA,98682.0,145407,307226,0.47329002102686624,0
82,H0WA03187,"HERRERA BEUTLER, JAIME",REP,2018,WA,H,3.0,I,C,C00472704,RIDGEFIELD,WA,986420020.0,161819,307226,0.5267099789731338,1
84,H0WA02080,"LARSEN, RICK",DEM,2018,WA,H,2.0,I,C,C00345546,EVERETT,WA,98206.0,210187,294833,0.7129018800473489,1
85,H8WA01077,"BEELER, JEFFREY ALLEN SR",REP,2018,WA,H,1.0,C,C,C00680264,SULTAN,WA,98294.0,135534,332743,0.40732336968771693,0
86,H0WA08046,"DELBENE, SUZAN K",DEM,2018,WA,H,1.0,I,C,C00459099,KIRKLAND,WA,98083.0,197209,332743,0.592676630312283,1
87,H8VA11088,"PORTER, STEVAN MICHAEL MR.",LIB,2018,VA,H,11.0,C,C,C00631762,HERNDON,VA,20172.0,5546,308250,0.017991889699918898,0
88,H8VA11062,"CONNOLLY, GERALD EDWARD",DEM,2018,VA,H,11.0,I,C,C00445452,FAIRFAX,VA,22031.0,219191,308250,0.7110819140308191,1
89,H8VA10106,"WEXTON, JENNIFER",DEM,2018,VA,H,10.0,C,C,C00638023,STERLING,VA,20165.0,206356,367795,0.5610625484305115,1
90,H4VA10089,"COMSTOCK, BARBARA",REP,2018,VA,H,10.0,I,P,C00554261,MCLEAN,VA,221011531.0,160841,367795,0.4373115458339564,0
91,H8VA09066,"FLACCAVENTO, ANTHONY JUDE MR",DEM,2018,VA,H,9.0,C,P,C00657619,ABINGDON,VA,24212.0,85833,246980,0.3475301643857802,0
92,H0VA09055,"GRIFFITH, H MORGAN",REP,2018,VA,H,9.0,I,C,C00477240,CHRISTIANSBURG,VA,24068.0,160933,246980,0.6516033686938214,1
93,H4VA08224,"BEYER, DONALD STERNOFF HONORABLE JR.",DEM,2018,VA,H,8.0,I,C,C00555888,ALEXANDRIA,VA,22314.0,247137,324748,0.7610116151600625,1
94,H8VA08159,"OH, THOMAS",REP,2018,VA,H,8.0,C,P,C00669507,ALEXANDRIA,VA,22304.0,76899,324748,0.2367959156022516,0
95,H8VA07128,"WALTON, JOSEPH BUCKLER",LIB,2018,VA,H,7.0,C,P,C00673038,POWHATAN,VA,23139.0,4216,349803,0.01205249812037061,0
96,H8VA07094,"SPANBERGER, ABIGAIL",DEM,2018,VA,H,7.0,C,C,C00649913,GLEN ALLEN,VA,23058.0,176079,349803,0.503366180392964,1
97,H4VA07143,"BRAT, DAVID ALAN MR.",REP,2018,VA,H,7.0,I,C,C00554949,GLEN ALLEN,VA,230585094.0,169295,349803,0.48397240732640945,0
98,H8VA06138,"LEWIS, JENNIFER LYNN",DEM,2018,VA,H,6.0,O,P,C00669531,WAYNESBORO,VA,22980.0,113133,281377,0.4020691101262719,0
99,H8VA06104,"CLINE, BENJAMIN LEE",REP,2018,VA,H,6.0,O,C,C00661561,LEXINGTON,VA,24450.0,167957,281377,0.5969109060086645,1
100,H8VA05155,"COCKBURN, LESLIE",DEM,2018,VA,H,5.0,O,P,C00650366,SPERRYVILLE,VA,22740.0,145040,310926,0.4664775541447161,0
101,H8VA05171,"RIGGLEMAN, DENVER LEE MR. III",REP,2018,VA,H,5.0,O,C,C00680488,AFTON,VA,22920.0,165339,310926,0.5317631848092472,1
102,H8VA04042,"WELLS, PETER JOSEPH",LIB,2018,VA,H,4.0,C,N,C00676379,RICHMOND,VA,23222.0,4233,299854,0.014116870210168948,0
103,H6VA04061,"MCEACHIN, ASTON DONALD",DEM,2018,VA,H,4.0,I,C,C00610964,RICHMOND,VA,23221.0,187642,299854,0.6257778785675695,1
104,H8VA04026,"MCADAMS, RYAN A. MR.",REP,2018,VA,H,4.0,C,P,C00663070,PROVIDENCE FORGE,VA,23140.0,107706,299854,0.35919480813996146,0
105,H6VA01117,"SCOTT, ROBERT C MR",DEM,2018,VA,H,3.0,I,C,C00256925,NEWPORT NEWS,VA,23607.0,198615,217722,0.912241298536666,1
106,H8VA02111,"LURIA, ELAINE",DEM,2018,VA,H,2.0,C,C,C00664375,VIRGINIA BEACH,VA,23466.0,139571,273400,0.5105010972933431,1
107,H0VA02118,"TAYLOR, SCOTT W. MR.",REP,2018,VA,H,2.0,I,C,C00608703,VIRGINIA BEACH,VA,23466.0,133458,273400,0.48814191660570594,0
108,H8VA01303,"WILLIAMS, VANGIE",DEM,2018,VA,H,1.0,C,C,C00632059,IRVINGTON,VA,22480.0,148464,332101,0.4470447243459068,0
109,H8VA01147,"WITTMAN, ROBERT J MR.",REP,2018,VA,H,1.0,I,C,C00441014,MONTROSS,VA,22520.0,183250,332101,0.5517899675098841,1
110,H6VT00160,"WELCH, PETER",DEM,2018,VT,H,0.0,I,C,C00413179,BURLINGTON,VT,5402.0,188547,272451,0.6920400365570323,1
111,H8VT01065,"TYNIO, NATASHA ANYA",REP,2018,VT,H,0.0,C,C,C00684696,DERBY,VT,5829.0,70705,272451,0.2595145549107913,0
114,H8UT04053,"MCADAMS, BEN",DEM,2018,UT,H,4.0,C,C,C00658633,SLC,UT,84106.0,134964,269271,0.5012199605601791,1
115,H2UT04023,"LOVE, MIA",REP,2018,UT,H,4.0,I,P,C00505776,SARATOGA SPRINGS,UT,84045.0,134270,269271,0.49864263140107923,0
118,H8UT03402,"SINGER, JAMES COURAGE",DEM,2018,UT,H,3.0,C,P,C00673749,WEST VALLEY CITY,UT,84119.0,70686,258858,0.2730686322230721,0
119,H8UT03238,"CURTIS, JOHN",REP,2018,UT,H,3.0,I,C,C00647339,PROVO,UT,84604.0,174856,258858,0.6754900370087075,1
120,H8UT02255,"GHORBANI, SHIREEN SARAH",DEM,2018,UT,H,2.0,C,P,C00656280,SALT LAKE CITY,UT,84103.0,105051,270044,0.38901438284131473,0
122,H2UT02324,"STEWART, CHRIS",REP,2018,UT,H,2.0,I,C,C00506931,FARMINGTON,UT,840253304.0,151489,270044,0.5609789515782613,1
123,H8UT01125,"DAVIS, ADAM",GRE,2018,UT,H,1.0,C,N,C00670455,SOUTH JORDAN,UT,84095.0,4786,254333,0.018817849040431246,0
124,H8UT01133,"ELIASON, ERIC R",UNI,2018,UT,H,1.0,C,P,C00670059,LOGAN,UT,84321.0,29547,254333,0.11617446418671584,0
125,H2UT01094,"BISHOP, ROBERT",REP,2018,UT,H,1.0,I,C,C00374231,BRIGHAM CITY,UT,84302.0,156692,254333,0.6160899293445994,1
126,H8UT01158,"CASTILLO, LEE MR",DEM,2018,UT,H,1.0,C,P,C00671982,LAYTON,UT,84041.0,63308,254333,0.2489177574282535,0
127,H8TX36024,"STEELE, DAYNA MS.",DEM,2018,TX,H,36.0,C,P,C00639419,SEABROOK,TX,77586.0,60908,221956,0.27441474886914524,0
128,H6TX02079,"BABIN, BRIAN",REP,2018,TX,H,36.0,I,C,C00553859,WOODVILLE,TX,75979.0,161048,221956,0.7255852511308548,1
130,H4TX10028,"DOGGETT, LLOYD",DEM,2018,TX,H,35.0,I,C,C00286500,AUSTIN,TX,78702.0,138278,194067,0.7125271169235368,1
131,H8TX35026,"SMALLING, DAVID",REP,2018,TX,H,35.0,C,P,C00658849,DALLAS,TX,75228.0,50553,194067,0.2604925103186013,0
132,H2TX27190,"VELA, FILEMON",DEM,2018,TX,H,34.0,I,C,C00513531,SAN ANTONIO,TX,78248.0,85825,143068,0.5998895630050046,1
133,H6TX34031,"GONZALEZ, REY DR.",REP,2018,TX,H,34.0,C,C,C00607333,SAN BENITO,TX,78586.0,57243,143068,0.4001104369949954,0
135,H2TX33073,"VEASEY, MARC ALLISON MR.",DEM,2018,TX,H,33.0,I,C,C00506832,FORT WORTH,TX,76105.0,90805,119224,0.7616335637120043,1
136,H8TX33021,"BILLUPS, WILLIE KAILAWN",REP,2018,TX,H,33.0,C,P,C00663179,ARLINGTON,TX,76006.0,26120,119224,0.21908340602563242,0
138,H8TX32098,"ALLRED, COLIN",DEM,2018,TX,H,32.0,C,C,C00637868,DALLAS,TX,75360.0,144067,275620,0.5227015456062695,1
139,H2TX03126,"SESSIONS, PETE MR.",REP,2018,TX,H,32.0,I,C,C00303305,DALLAS,TX,753823047.0,126101,275620,0.45751759669109643,0
141,H8TX31058,"HEGAR, MARY JENNINGS MJ",DEM,2018,TX,H,31.0,C,P,C00649350,ROUND ROCK,TX,78664.0,136362,286007,0.4767785403853752,0
142,H2TX31044,"CARTER, JOHN R. REP.",REP,2018,TX,H,31.0,I,C,C00371203,WASHINGTON,DC,205150001.0,144680,286007,0.5058617446426137,1
144,H2TX00015,"JOHNSON, EDDIE BERNICE",DEM,2018,TX,H,30.0,I,C,C00254573,DALLAS,TX,75201.0,166784,183174,0.9105222356884711,1
146,H8TX29052,"GARCIA, SYLVIA R",DEM,2018,TX,H,29.0,O,C,C00660555,HOUSTON,TX,77009.0,88188,117494,0.7505744974211449,1
147,H8TX29094,"ARONOFF, PHILLIP ARNOLD",REP,2018,TX,H,29.0,O,P,C00662973,HOUSTON,TX,77057.0,28098,117494,0.23914412650858768,0
149,H2TX23082,"CUELLAR, HENRY R.",DEM,2018,TX,H,28.0,I,C,C00371302,LAREDO,TX,78040.0,117494,139226,0.843908465372847,1
150,H0TX27038,"DUERR, JAMES MATTHEW",REP,2018,TX,H,27.0,C,P,C00682047,CORPUS CHRISTI,,,4274,207421,0.020605435322363697,0
151,H8TX27114,"TINUS, DANIEL",LIB,2018,TX,H,27.0,O,N,C00678672,SWEENY,TX,77480.0,2100,207421,0.010124336494376171,0
152,H8TX27056,"HOLGUIN, ERIC",DEM,2018,TX,H,27.0,O,P,C00641340,CORPUS CHRISTI,TX,78468.0,75929,207421,0.3660622598483278,0
153,H8TX27049,"CLOUD, MICHAEL",REP,2018,TX,H,27.0,I,C,C00655332,VICTORIA,TX,77903.0,125118,207421,0.6032079683349323,1
155,H8TX26124,"FAGAN, LINSEY",DEM,2018,TX,H,26.0,C,P,C00635870,KELLER,TX,76248.0,121938,312505,0.39019535687429,0
156,H2TX26093,"BURGESS, MICHAEL C. DR.",REP,2018,TX,H,26.0,I,C,C00372532,DENTON,TX,762022334.0,185551,312505,0.593753699940801,1
158,H8TX25159,"OLIVER, JULIE LYNN",DEM,2018,TX,H,25.0,C,C,C00661769,AUSTIN,TX,78767.0,136385,304553,0.4478202480356457,0
159,H2TX33040,"WILLIAMS, ROGER",REP,2018,TX,H,25.0,I,C,C00498121,AUSTIN,TX,787091061.0,163023,304553,0.5352861406717386,1
161,H6TX24149,"MCDOWELL, JAN",DEM,2018,TX,H,24.0,C,C,C00588558,CARROLLTON,TX,75007.0,125231,263418,0.47540790682489426,0
162,H4TX24094,"MARCHANT, KENNY E MR.",REP,2018,TX,H,24.0,I,C,C00393348,CARROLLTON,TX,750110187.0,133317,263418,0.5061043664442065,1
166,H8TX22297,"SWENY, SARA KELLEN MRS.",IND,2018,TX,H,22.0,C,P,C00671131,PEARLAND,TX,77584.0,3241,297405,0.010897597552159513,0
168,H8TX22313,"KULKARNI, SRI PRESTON",DEM,2018,TX,H,22.0,C,P,C00662874,SUGAR LAND,TX,774980898.0,138153,297405,0.46452816865889945,0
169,H8TX22107,"OLSON, PETER G.",REP,2018,TX,H,22.0,I,C,C00437913,SUGAR LAND,TX,774792455.0,152750,297405,0.5136093878717574,1
171,H8TX21190,"KOPSER, JOSEPH",DEM,2018,TX,H,21.0,O,P,C00641191,SAN ANTONIO,TX,78270.0,168421,353617,0.476280834914611,0
172,H8TX21307,"ROY, CHIP",REP,2018,TX,H,21.0,O,C,C00662767,AUSTIN,TX,78735.0,177654,353617,0.5023910049573409,1
174,H2TX35011,"CASTRO, JOAQUIN",DEM,2018,TX,H,20.0,I,C,C00497933,SAN ANTONIO,TX,78292.0,139038,171963,0.808534394026622,1
175,H8TX19111,"LEVARIO, MIGUEL ANTONIO MR. PHD",DEM,2018,TX,H,19.0,C,P,C00638353,LUBBOCK,TX,79413.0,50039,201985,0.24773621803599277,0
176,H6TX19099,"ARRINGTON, JODEY COOK",REP,2018,TX,H,19.0,I,C,C00588657,LUBBOCK,TX,79493.0,151946,201985,0.7522637819640072,1
177,H8TX18196,"SPENCER, LUKE",LIB,2018,TX,H,18.0,C,C,C00682286,HOUSTON,TX,77006.0,4067,184332,0.022063450730204198,0
178,H4TX18054,"LEE, SHEILA JACKSON",DEM,2018,TX,H,18.0,I,C,C00287904,HOUSTON,TX,77004.0,138704,184332,0.7524683722847905,1
179,H6TX18158,"PATE, AVA",REP,2018,TX,H,18.0,C,C,C00598375,HOUSTON,TX,77088.0,38368,184332,0.20814617103921185,0
181,H8TX17149,"KENNEDY, RICHARD",DEM,2018,TX,H,17.0,C,C,C00654640,ROUND ROCK,TX,78681.0,98070,237351,0.41318553534638575,0
182,H0TX17104,"FLORES, BILL",REP,2018,TX,H,17.0,I,C,C00472241,BRYAN,TX,77805.0,134841,237351,0.5681079919612726,1
183,H8TX16109,"ESCOBAR, VERONICA",DEM,2018,TX,H,16.0,O,C,C00653923,EL PASO,TX,79923.0,124437,181754,0.6846451797484512,1
184,H8TX16133,"SEEBERGER, RICK",REC,2018,TX,H,16.0,O,P,C00662379,EL PASO,TX,79932.0,49127,181754,0.2702939137515543,0
186,H6TX15162,"GONZALEZ, VICENTE",DEM,2018,TX,H,15.0,I,C,C00592659,MCALLEN,TX,78501.0,98333,164802,0.5966735840584458,1
187,H6TX15204,"WESTLEY, TIMMY LEE",REP,2018,TX,H,15.0,C,C,C00597716,SAN ANTONIO,TX,18062.0,63862,164802,0.3875074331622189,0
189,H8TX14120,"BELL, ADRIENNE",DEM,2018,TX,H,14.0,C,C,C00639872,PEARLAND,TX,77584.0,92212,234528,0.3931811979806249,0
190,H2TX14149,"WEBER, RANDY",REP,2018,TX,H,14.0,I,C,C00502229,FRIENDSWOOD,TX,77546.0,138942,234528,0.5924324600900532,1
192,H8TX13163,"SAGAN, GREGORY T. MR.",DEM,2018,TX,H,13.0,C,C,C00649392,AMARILLO,TX,79124.0,35083,207285,0.16925006633379164,0
193,H4TX13014,"THORNBERRY, MAC",REP,2018,TX,H,13.0,I,C,C00286187,CLARENDON,TX,792264430.0,169027,207285,0.8154328581421714,1
194,H8TX12090,"LEDDY, JACOB",LIB,2018,TX,H,12.0,C,N,C00661827,FORT WORTH,TX,76107.0,4940,268491,0.018399126972598708,0
195,H8TX12074,"ADIA, VANESSA MICHELLE",DEM,2018,TX,H,12.0,C,P,C00635797,BENBROOK,TX,76126.0,90994,268491,0.33890893921956416,0
196,H6TX12060,"GRANGER, KAY",REP,2018,TX,H,12.0,I,C,C00310532,FORT WORTH,TX,761076547.0,172557,268491,0.6426919338078372,1
199,H8TX10110,"SIEGEL, MICHAEL",DEM,2018,TX,H,10.0,C,C,C00662668,AUSTIN,TX,78701.0,144034,307827,0.4679056742910791,0
200,H4TX10093,"MCCAUL, MICHAEL",REP,2018,TX,H,10.0,I,C,C00392688,AUSTIN,TX,787012514.0,157166,307827,0.5105659997336166,1
201,H8TX09146,"HERNANDEZ, BENJAMIN",IND,2018,TX,H,9.0,C,P,C00671149,HOUSTON,TX,77047.0,5774,153001,0.037738315435846825,0
203,H4TX09095,"GREEN, ALEXANDER",DEM,2018,TX,H,9.0,I,C,C00578567,HOUSTON,TX,77054.0,136256,153001,0.8905562708740465,1
205,H8TX08080,"DAVID, STEVEN",DEM,2018,TX,H,8.0,C,P,C00648964,TOMBALL,TX,77377.0,67930,273170,0.24867298751693084,0
206,H6TX08100,"BRADY, KEVIN",REP,2018,TX,H,8.0,I,C,C00311043,THE WOODLANDS,TX,773878277.0,200619,273170,0.7344108064575173,1
209,H8TX06183,"SANCHEZ, JANA LYNNE MS",DEM,2018,TX,H,6.0,O,P,C00631978,WAXAHACHIE,TX,76168.0,116350,256042,0.45441763460682233,0
210,H8TX06233,"WRIGHT, RON",REP,2018,TX,H,6.0,O,C,C00662171,ARLINGTON,TX,76017.0,135961,256042,0.5310105373337187,1
211,H8TX05086,"WOOD, DANNY EUGENE JR",DEM,2018,TX,H,5.0,O,P,C00636860,TERRELL,TX,75160.0,78666,209507,0.3754814874920647,0
212,H8TX05144,"GOODEN, LANCE",REP,2018,TX,H,5.0,O,C,C00662601,TERRELL,TX,75160.0,130617,209507,0.6234493358217148,1
214,H8TX04162,"KRANTZ, CATHERINE",DEM,2018,TX,H,4.0,C,P,C00659813,EMORY,TX,75440.0,57400,249245,0.23029549238700878,0
215,H4TX04153,"RATCLIFFE, JOHN L",REP,2018,TX,H,4.0,I,C,C00554113,HEATH,TX,750325984.0,188667,249245,0.7569540010832715,1
217,H8TX03099,"BURCH, LORIE LOUISE",DEM,2018,TX,H,3.0,O,C,C00647057,PLANO,,,138234,312511,0.44233322987030854,0
218,H8TX03123,"TAYLOR, NICHOLAS V.",REP,2018,TX,H,3.0,O,P,C00653634,PLANO,TX,75093.0,169520,312511,0.5424449059393109,1
219,H8TX02232,"CUBBLER, SCOTT RALSTON MR.",IND,2018,TX,H,2.0,C,P,C00683375,HOUSTON,TX,77043.0,1839,263392,0.006981988822743287,0
221,H8TX02067,"LITTON, TODD CATLETT",DEM,2018,TX,H,2.0,O,P,C00639526,HOUSTON,TX,77098.0,119992,263392,0.45556432997205687,0
222,H8TX02166,"CRENSHAW, DANIEL",UNK,2018,TX,H,2.0,O,C,C00660795,HOUSTON,TX,772691325.0,139188,263392,0.5284442959543191,1
224,H2TX01062,"MCKELLAR, SHIRLEY JONETTA  DR",DEM,2018,TX,H,1.0,C,P,C00506287,TYLER,TX,75702.0,61263,232720,0.26324767961498796,0
225,H4TX04039,"GOHMERT, LOUIS B. MR. JR.",REP,2018,TX,H,1.0,I,C,C00386532,TYLER,TX,75711.0,168165,232720,0.7226065658301822,1
228,H2TN08077,"HART, JAMES",IND,2018,TN,H,8.0,C,N,C00372722,BUCHANAN,TN,38222.0,5560,248345,0.022388209949868128,0
229,H6TN08250,"STOTTS-PEARSON, ERIKA",DEM,2018,TN,H,8.0,C,N,C00684977,CORDOVA,TN,38088.0,74755,248345,0.3010127041011496,0
230,H2TN07103,"KUSTOFF, DAVID",REP,2018,TN,H,8.0,I,C,C00614826,GERMANTOWN,TN,38138.0,168030,248345,0.6765990859489822,1
231,H8TN07076,"GREEN, MARK DR.",REP,2018,TN,H,7.0,O,C,C00658385,BRENTWOOD,TN,37024.0,170071,254384,0.6685601295678973,1
233,H8TN07068,"KANEW, JUSTIN",DEM,2018,TN,H,7.0,O,P,C00638403,COLLEGE GROVE,TN,37046.0,81661,254384,0.3210146864582678,0
235,H8TN06110,"DUNN, LLOYD 1981",IND,2018,TN,H,6.0,O,N,C00670323,PORTLAND,TN,37148.0,2134,248740,0.00857923936640669,0
236,H8TN06094,"ROSE, JOHN W.",REP,2018,TN,H,6.0,O,C,C00652743,COOKEVILLE,TN,38502.0,172810,248740,0.6947414971456138,1
237,H8TN06128,"BARLOW, DAWN",DEM,2018,TN,H,6.0,O,P,C00671263,RICKMAN,TN,38580.0,70370,248740,0.2829058454611241,0
240,H0TN04195,"DESJARLAIS, SCOTT HON.",REP,2018,TN,H,4.0,I,C,C00464073,SOUTH PITTSBURG,TN,373806414.0,147323,232451,0.6337808828527303,1
242,H8TN04099,"PHILLIPS, MARIAH NICOLE",DEM,2018,TN,H,4.0,C,P,C00639641,MURFREESBORO,TN,37128.0,78065,232451,0.3358342188246125,0
244,H8TN03208,"MITCHELL, DANIELLE DR.",DEM,2018,TN,H,3.0,C,P,C00641001,HIXSON,TN,37343.0,84731,245765,0.3447643073667935,0
245,H0TN03254,"FLEISCHMANN, CHARLES J",REP,2018,TN,H,3.0,I,C,C00461822,CHATTANOOGA,TN,37402.0,156512,245765,0.6368360018717067,1
246,H8TN02119,"BURCHETT, TIM",REP,2018,TN,H,2.0,O,C,C00652149,KNOXVILLE,TN,379501345.0,172856,262134,0.6594184653650423,1
247,H8TN02176,"HOYOS, RENEE",DEM,2018,TN,H,2.0,O,C,C00654988,KNOXVILLE,TN,37920.0,86668,262134,0.33062479495220004,0
248,H8TN02184,"WHITMIRE, MARC",IND,2018,TN,H,2.0,O,N,C00657494,KNOXVILLE,TN,37917.0,637,262134,0.002430054857439325,0
251,H8TN02192,"SAMPLES, WILLIAM",IND,2018,TN,H,2.0,O,N,C00659268,KNOXVILLE,TN,37919.0,967,262134,0.0036889529782477663,0
254,H2SD00068,"WIECZOREK, RONALD LEE",IND,2018,SD,H,0.0,O,P,C00681767,MT VERNON,SD,57363.0,7313,335471,0.021799201719373655,0
255,H8SD01097,"BJORKMAN, TIMOTHY W MR.",DEM,2018,SD,H,0.0,O,P,C00650226,CANISTOTA,SD,57012.0,120816,335471,0.3601384322340828,0
256,H8SD01055,"JOHNSON, DUSTY",REP,2018,SD,H,0.0,O,C,C00628917,MITCHELL,SD,57301.0,202446,335471,0.6034679599726951,1
257,H8SD01105,"HENDRICKSON, GEORGE",LIB,2018,SD,H,0.0,O,P,C00666057,SIOUX FALLS,SD,57105.0,4896,335471,0.01459440607384841,0
258,H2SC07066,"RICE, TOM",REP,2018,SC,H,7.0,I,C,C00506048,MYRTLE BEACH,SC,29577.0,142681,239554,0.5956110104611069,1
259,H8SC07063,"WILLIAMS, ROBERT",DEM,2018,SC,H,7.0,C,C,C00677062,DARLINGTON,SC,29532.0,96564,239554,0.4030990924801924,0
260,H8SC06107,"GRESSMANN, GERHARD RALF REV",REP,2018,SC,H,6.0,C,P,C00671990,ESTILL,SC,29918.0,58282,206433,0.28232889121409854,0
262,H2SC02042,"CLYBURN, JAMES E.",DEM,2018,SC,H,6.0,I,C,C00255562,COLUMBIA,SC,29203.0,144765,206433,0.7012686925055587,1
263,H8SC05158,"NORMAN, RALPH W. JR.",REP,2018,SC,H,5.0,I,C,C00633610,ROCK HILL,SC,29732.0,141757,248579,0.5702694113340225,1
264,H2SC04121,"CHANDLER, MICHAEL",CON,2018,SC,H,5.0,C,N,C00525345,FINGERVILLE,SC,29338.0,3443,248579,0.013850727535310706,0
265,H8SC05174,"PARNELL, ARCHIE",DEM,2018,SC,H,5.0,C,P,C00634709,SUMTER,SC,29151.0,103129,248579,0.4148741446381231,0
266,H8SC04391,"FURAY, GUY V MR.",AMP,2018,SC,H,4.0,O,P,C00674507,GREENVILLE,SC,29606.0,9203,243950,0.03772494363599098,0
267,H8SC04250,"TIMMONS, WILLIAM R. IV",REP,2018,SC,H,4.0,O,C,C00668491,GREENVILLE,SC,29602.0,145321,243950,0.5956999385119902,1
268,H8SC04300,"BROWN, BRANDON PENDARVIS",DEM,2018,SC,H,4.0,O,P,C00672162,TAYLORS,SC,29687.0,89182,243950,0.36557491289198607,0
270,H0SC03077,"DUNCAN, JEFFREY D MR.",REP,2018,SC,H,3.0,I,C,C00460550,LAURENS,SC,293600845.0,153338,226204,0.6778748386412266,1
271,H8SC03070,"GEREN, MARY SMITH",DEM,2018,SC,H,3.0,C,P,C00636696,ANDERSON,SC,29621.0,70046,226204,0.3096585383105515,0
273,H2SC02059,"WILSON, JOE THE HON.",REP,2018,SC,H,2.0,I,C,C00368522,WEST COLUMBIA,SC,291712145.0,144642,257139,0.5625051042432303,1
274,H8SC02106,"CARRIGAN, SEAN J MR.",DEM,2018,SC,H,2.0,C,P,C00652321,CHAPIN,SC,29036.0,109199,257139,0.424669147814995,0
275,H8SC01116,"CUNNINGHAM, JOE",DEM,2018,SC,H,1.0,C,C,C00650507,CHARLESTON,SC,29413.0,145455,287433,0.5060483660540022,1
276,H6RI02284,"CAIOZZO, SALVATORE",REP,2018,RI,H,2.0,C,N,C00665349,WEST GREENWICH,RI,2817.0,72271,199197,0.3628116889310582,0
277,H0RI02139,"LANGEVIN, JAMES R. HONORABLE",DEM,2018,RI,H,2.0,I,C,C00344697,WARWICK,RI,2886.0,126476,199197,0.6349292409022225,1
278,H8RI01100,"DONOVAN, PATRICK J",REP,2018,RI,H,1.0,C,N,C00689018,NEWPORT,RI,2840.0,57567,174083,0.3306870860451624,0
279,H0RI01073,"CICILLINE, DAVID N",DEM,2018,RI,H,1.0,I,C,C00476564,PROVIDENCE,RI,2906.0,116099,174083,0.6669175048683674,1
280,H4PA18131,"DOYLE, MICHAEL",DEM,2018,PA,H,18.0,I,C,C00290064,PITTSBURGH,PA,15221.0,231472,231472,1.0,1
281,H0PA04220,"ROTHFUS, KEITH MR.",REP,2018,PA,H,17.0,I,P,C00497115,SEWICKLEY,PA,15143.0,142417,325579,0.43742686106904927,0
282,H8PA18181,"LAMB, CONOR",DEM,2018,PA,H,17.0,I,C,C00657411,PITTSBURGH,PA,15228.0,183162,325579,0.5625731389309507,1
